id,address,categories,city,country,cuisines,dateAdded,dateUpdated,keys,latitude,longitude,menuPageURL,menus.amountMax,menus.amountMin,menus.category,menus.currency,menus.dateSeen,menus.description,menus.name,name,postalCode,priceRangeCurrency,priceRangeMin,priceRangeMax,province,websites
AVwc-9hvkufWRAb51FO1,5993 Sentinel Rd,"Restaurant,Restaurants",Lake Placid,US,"Contemporary American, Wild Game, Organic",2016-11-06T04:52:04Z,2016-11-06T04:52:04Z,us/ny/lakeplacid/5993sentinelrd/-1361640943,44.27268400000001,-73.97973,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuMLvebwKqWtPm-4vwEFmgapvZF8QWiQ5QaTrQRGS9JDM9PuTU7MwIOVwxFWk7CgzRR5Q0elR_2LUja5scbyuiCBLa8vCB57GB5bEsehPm68czrrEy75Y6TxpBhzx3kXIwHO3ez0ofmupMgJmn7trQlbi5T_R2V1V1jk54iMX-GCHWiIHT-rKNoOjl7KC2LCL1_LHiTx8wMO5vG0Us6WPV0L_2Vd_IHR2KeWwJqtpEhJrWFkBC21zh20iqA7WLquIeioO63JHERxJH068NgfU_aUs-E2Mwq77K1uZ3flHaNPKI43bN2yUL8zABDq0oTDHnWc6-eWiH5lSJ31S7k50Ordafpnv2D5vaHKB1TjPreciNlZOIEHc7jJm2AiMJXlct_OgTUJKnvJIAiCyJFaTOX9lhXzE3xqvl0s-eqsLic005vp3GbzehkhhwmiOZ_WwG-y6iY5IeLJ_VhbYB15UTUI27URR8HmxRZ_MByexcTub&placement=listing_profile&cs_user=unknown&cs_session=f0df8304f5895d98de63132f91462bffa0112811,8.95,8.95,Specialties,USD,2016-08-07T00:00:00Z,"Scrambled egg, black beans, tomatoes, sweet peppers topped with pepper jack cheese and green chili sauce",Breakfast Burrito,Chair 6,12946,USD,31.0,50.0,NY,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuGnmwGnHDpEGYXGjnN4u8zXqkiimSHFf4_dbqGRbVgNJ-YljJLsruzCnWQLCU9JnvvFVmD_ht9e_ob50pAKLIYNhWoY_We6JkI8y7NhnzLOcpMIfC3T8JXZuq_fRMh55bkr37kQsdbf4jdn7YU33IThqsyvM8877wZqbqJO2QZzdvVYxjfTW0cfrK5McMu784GVTumY9ZQr4hTjVwJc3QN6Sd5wK6UhvL62YfPtx61pkuRhh7tt8cqBJkNHtlx2pQ7ZIDJlbv2TE9GYrS3t2OVuzWACbrbJeWeiPcoVc-QNo2O90tf8jB3LoBUMZ73lNIbDgmf8B9B1lv7zquoJcKUU36iSQ-2ykg29bl94TvkHmsAdzbRaE050ezTe7S-Tr6tjaAYoqt8Y4&placement=listing_profile&cs_user=unknown&cs_session=f0df8304f5895d98de63132f91462bffa0112811
AVwc-C5K_7pvs4fz04f_,439 Tremont St,"New American Restaurant,Tapas Restaurant,Restaurants",Boston,US,Southwestern,2016-03-22T03:49:49Z,2017-07-01T16:02:53Z,us/ma/boston/439tremontst/3344098,42.34682700000001,-71.069129,http://www.citysearch.com/profile/menu/36411671?singlePlatformId=masa,9.95,9.95,Tapas,USD,2016-04-24T00:00:00Z,Pickled Onions and Chipotle Tartar Sauce,Baja Fish Tacos With Pico De Gallo,Masa,2116,USD,25.0,40.0,MA,"http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuGnmwGnHDpEGYXGjnN4u8zXqkiimSHFf4_dbqGRbVgNJuCtKx3Fxo4QQAlPbQCqdY7b1iTwzbaCmpx-AcmU8ka1ZEgq7_NL4EiQ5Pyq2FxX2Ce3z6Qjh7_5u36zDcaHYkw0HLUI2oKc4kGsgAAyzlsA-n3uCdzFsA4exyCnOUu5ox2ZKPI-ZbnI_00mQ-iqZcRHQnmcfMKzuwIIEY-_0K8203lHG1pGMq27qTCo2deq_pJ4Om6-sAsC2_8378r_WmpM58S4yqBpzJLybhjBz7Wr1ixkbred79u906_k2xt7ekyoXZMO9Y7WuB2zZz9ld8QFtUBBkIVSkT-V_6e8egDaYuZ5RoTd9wTR0gwOtEOXdlW7RAa2A5PFFlWX_MK9D37n0AP9MX46lauj5Blj2NM8&placement=listing_profile&cs_user=unknown&cs_session=2bc3a877c24082700f958b98c19ca63edf51edc3,http://www.masarestaurant.com/,http://masarestaurant.com"
AVwc-C5K_7pvs4fz04f_,439 Tremont St,"New American Restaurant,Tapas Restaurant,Restaurants",Boston,US,Southwestern,2016-03-22T03:49:49Z,2017-07-01T16:02:53Z,us/ma/boston/439tremontst/3344098,42.34682700000001,-71.069129,http://www.citysearch.com/profile/menu/36411671?singlePlatformId=masa,5.25,5.25,Tapas,USD,2016-04-24T00:00:00Z,Creamy Scrambled Eggs and Vine Ripe Tomato Salsa,Breakfast Tacos,Masa,2116,USD,25.0,40.0,MA,"http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuGnmwGnHDpEGYXGjnN4u8zXqkiimSHFf4_dbqGRbVgNJuCtKx3Fxo4QQAlPbQCqdY7b1iTwzbaCmpx-AcmU8ka1ZEgq7_NL4EiQ5Pyq2FxX2Ce3z6Qjh7_5u36zDcaHYkw0HLUI2oKc4kGsgAAyzlsA-n3uCdzFsA4exyCnOUu5ox2ZKPI-ZbnI_00mQ-iqZcRHQnmcfMKzuwIIEY-_0K8203lHG1pGMq27qTCo2deq_pJ4Om6-sAsC2_8378r_WmpM58S4yqBpzJLybhjBz7Wr1ixkbred79u906_k2xt7ekyoXZMO9Y7WuB2zZz9ld8QFtUBBkIVSkT-V_6e8egDaYuZ5RoTd9wTR0gwOtEOXdlW7RAa2A5PFFlWX_MK9D37n0AP9MX46lauj5Blj2NM8&placement=listing_profile&cs_user=unknown&cs_session=2bc3a877c24082700f958b98c19ca63edf51edc3,http://www.masarestaurant.com/,http://masarestaurant.com"
AVwcgGfuIN2L1WUflome,300 NE 21st Ave,"Seafood Restaurant,Bar,Seafood Restaurant and Bar,Steak Houses,Seafood Restaurants,Restaurants,Bar & Grills",Deerfield Beach,US,Steak Houses,2015-10-19T20:41:56Z,2017-07-06T19:54:04Z,us/fl/deerfieldbeach/300ne21stave/1138730057,26.31718472,-80.07555064,http://www.yellowpages.com/deerfield-beach-fl/mip/j-bs-on-the-beach-13168086/menu,16.0,16.0,Handhelds,USD,2016-08-21T00:00:00Z,"spicy pickled cabbage, jack cheese and avocado lime cream, served with black beans and rice",Blackened Fish Tacos,JB's On The Beach,33441,USD,25.0,40.0,FL,http://www.jbsonthebeach.com
AVwcgGfuIN2L1WUflome,300 NE 21st Ave,"Seafood Restaurant,Bar,Seafood Restaurant and Bar,Steak Houses,Seafood Restaurants,Restaurants,Bar & Grills",Deerfield Beach,US,Steak Houses,2015-10-19T20:41:56Z,2017-07-06T19:54:04Z,us/fl/deerfieldbeach/300ne21stave/1138730057,26.31718472,-80.07555064,http://www.yellowpages.com/deerfield-beach-fl/mip/j-bs-on-the-beach-13168086/menu,13.0,13.0,Breakfast At Lunch,USD,2016-08-21T00:00:00Z,"in a red chili tortilla, with scrambled eggs, chorizo, jack cheese and potatoes, served with corn chips, salsa and sour cream",Breakfast Burrito,JB's On The Beach,33441,USD,25.0,40.0,FL,http://www.jbsonthebeach.com
AVwcisC3_7pvs4fzwPl9,160 E 38th St,"Restaurant,Bar,Mexican Restaurant",New York,US,Mexican / Southwestern,2017-02-10T10:59:34Z,2017-02-10T10:59:34Z,us/nyc/newyork/160e38thst/353773354,40.748242,-73.97626899999999,http://www.yellowpages.com/new-york-ny/mip/el-rio-grande-2669704/menu,19.95,19.95,Tacos,USD,2016-08-22T00:00:00Z,"Grilled swordfish, lettuce, pico de gallo, mango salsa, and chipotle aioli",Tacos De Pescado,El Rio Grande,10016,USD,25.0,40.0,Nyc,http://www.elriograndenyc.com
AVwcisC3_7pvs4fzwPl9,160 E 38th St,"Restaurant,Bar,Mexican Restaurant",New York,US,Mexican / Southwestern,2017-02-10T10:59:34Z,2017-02-10T10:59:34Z,us/nyc/newyork/160e38thst/353773354,40.748242,-73.97626899999999,http://www.yellowpages.com/new-york-ny/mip/el-rio-grande-2669704/menu,18.95,18.95,Burritos,USD,2016-08-22T00:00:00Z,"Grilled chicken, vegetables, beans, monterey jack cheese, rice, lettuce, pico de gallo, guacamole and sour cream",Burrito De Pollo,El Rio Grande,10016,USD,25.0,40.0,Nyc,http://www.elriograndenyc.com
AVwcisC3_7pvs4fzwPl9,160 E 38th St,"Restaurant,Bar,Mexican Restaurant",New York,US,Mexican / Southwestern,2017-02-10T10:59:34Z,2017-02-10T10:59:34Z,us/nyc/newyork/160e38thst/353773354,40.748242,-73.97626899999999,http://www.yellowpages.com/new-york-ny/mip/el-rio-grande-2669704/menu,18.95,18.95,Burritos,USD,2016-08-22T00:00:00Z,"Marinated steak, vegetables, beans, monterey jack cheese, rice, lettuce, pico de gallo",Burrito De Carne Tomato Chipotle Salsa,El Rio Grande,10016,USD,25.0,40.0,Nyc,http://www.elriograndenyc.com
AVwcisC3_7pvs4fzwPl9,160 E 38th St,"Restaurant,Bar,Mexican Restaurant",New York,US,Mexican / Southwestern,2017-02-10T10:59:34Z,2017-02-10T10:59:34Z,us/nyc/newyork/160e38thst/353773354,40.748242,-73.97626899999999,http://www.yellowpages.com/new-york-ny/mip/el-rio-grande-2669704/menu,17.25,17.25,Tacos,USD,2016-08-22T00:00:00Z,"Grilled steak, lettuce, pico de gallo, ranchero and avocado sauce",Tacos Al Carbon,El Rio Grande,10016,USD,25.0,40.0,Nyc,http://www.elriograndenyc.com
AVwcisC3_7pvs4fzwPl9,160 E 38th St,"Restaurant,Bar,Mexican Restaurant",New York,US,Mexican / Southwestern,2017-02-10T10:59:34Z,2017-02-10T10:59:34Z,us/nyc/newyork/160e38thst/353773354,40.748242,-73.97626899999999,http://www.yellowpages.com/new-york-ny/mip/el-rio-grande-2669704/menu,16.95,16.95,Tacos,USD,2016-08-22T00:00:00Z,"Pulled roasted chicken, lettuce, pico de gallo, sour cream and queso fresco",Tacos De Pollo,El Rio Grande,10016,USD,25.0,40.0,Nyc,http://www.elriograndenyc.com
